profit,params,group
10399.761000000017,4499_4499,1
10404.981000000014,4500_4500,1
10410.130000000016,4501_4501,1
10422.867000000017,4502_4502,1
10419.967000000015,4503_4503,1
10421.197000000016,4504_4504,1
10412.357000000016,4505_4505,1
10408.787000000017,4506_4506,1
10404.587000000016,4507_4507,1
10408.597000000014,4508_4508,1
10408.087000000016,4509_4509,1
10406.787000000017,4510_4510,1
10400.707000000017,4511_4511,1
10404.077000000014,4512_4512,1
10400.967000000015,4513_4513,1
10389.737000000014,4514_4514,1
10389.297000000017,4515_4515,1
10390.597000000014,4516_4516,1
10391.700000000015,4517_4517,1
10392.380000000016,4518_4518,1
10387.160000000016,4519_4519,1
10384.580000000016,4520_4520,1
10381.419000000016,4521_4521,1
10375.819000000016,4522_4522,1
10402.469000000016,4523_4523,1
10406.009000000016,4524_4524,1
10407.549000000015,4525_4525,1
10408.849000000017,4526_4526,1
10405.179000000016,4527_4527,1
10414.469000000016,4528_4528,1
10417.129000000015,4529_4529,1
10406.888000000015,4530_4530,1
10412.848000000016,4531_4531,1
10409.398000000016,4532_4532,1
10368.941000000015,4533_4533,1
10379.644000000017,4534_4534,1
10380.594000000016,4535_4535,1
10382.684000000014,4536_4536,1
10382.684000000014,4537_4537,1
10380.164000000012,4538_4538,1
10372.694000000014,4539_4539,1
10372.174000000014,4540_4540,1
10377.974000000017,4541_4541,1
10379.857000000016,4542_4542,1
10378.590000000017,4543_4543,1
10378.120000000015,4544_4544,1
10374.950000000015,4545_4545,1
10372.370000000015,4546_4546,1
10370.090000000017,4547_4547,1
10371.400000000014,4548_4548,1
10366.410000000014,4549_4549,1
10372.947000000016,4550_4550,1
10375.364000000016,4551_4551,1
10371.174000000015,4552_4552,1
10371.224000000017,4553_4553,1
10374.454000000014,4554_4554,1
10375.687000000014,4555_4555,1
10377.917000000014,4556_4556,1
10370.437000000014,4557_4557,1
10399.154000000017,4558_4558,1
10396.054000000016,4559_4559,1
10398.394000000017,4560_4560,1
10404.634000000016,4561_4561,1
10406.184000000016,4562_4562,1
10414.214000000014,4563_4563,1
10415.304000000016,4564_4564,1
10414.614000000014,4565_4565,1
10409.434000000014,4566_4566,1
10408.555000000011,4567_4567,1
10401.595000000014,4568_4568,1
10399.535000000013,4569_4569,1
10398.645000000011,4570_4570,1
10404.375000000013,4571_4571,1
10403.445000000012,4572_4572,1
10398.595000000014,4573_4573,1
10402.045000000013,4574_4574,1
10389.835000000014,4575_4575,1
10390.645000000011,4576_4576,1
10389.605000000014,4577_4577,1
10389.955000000013,4578_4578,1
10394.885000000011,4579_4579,1
10391.875000000013,4580_4580,1
10396.785000000014,4581_4581,1
10392.045000000013,4582_4582,1
10395.655000000012,4583_4583,1
10392.485000000011,4584_4584,1
10401.215000000013,4585_4585,1
10404.585000000014,4586_4586,1
10400.355000000012,4587_4587,1
10398.015000000012,4588_4588,1
10398.975000000011,4589_4589,1
10391.355000000012,4590_4590,1
10396.285000000013,4591_4591,1
10387.795000000013,4592_4592,1
10392.925000000014,4593_4593,1
10391.425000000014,4594_4594,1
10386.545000000013,4595_4595,1
10386.235000000011,4596_4596,1
10400.195000000012,4597_4597,1
10417.712000000014,4598_4598,1
10413.952000000014,4599_4599,1
10395.515000000014,4600_4600,1
10397.715000000017,4601_4601,1
10410.105000000014,4602_4602,1
10407.984000000011,4603_4603,1
10397.583000000011,4604_4604,1
10390.723000000013,4605_4605,1
10389.514000000012,4606_4606,1
10390.824000000011,4607_4607,1
10393.044000000013,4608_4608,1
10395.544000000013,4609_4609,1
10399.384000000013,4610_4610,1
10389.744000000012,4611_4611,1
10390.054000000013,4612_4612,1
10390.524000000012,4613_4613,1
10390.084000000012,4614_4614,1
10389.734000000011,4615_4615,1
10389.094000000012,4616_4616,1
10388.544000000013,4617_4617,1
10384.641000000012,4618_4618,1
10395.751000000011,4619_4619,1
10401.191000000012,4620_4620,1
10403.211000000012,4621_4621,1
10396.244000000012,4622_4622,1
10395.644000000011,4623_4623,1
10387.614000000014,4624_4624,1
10387.444000000014,4625_4625,1
10389.624000000014,4626_4626,1
10390.324000000011,4627_4627,1
10395.874000000014,4628_4628,1
10393.024000000012,4629_4629,1
10398.944000000012,4630_4630,1
10404.964000000013,4631_4631,1
10404.634000000013,4632_4632,1
10411.244000000012,4633_4633,1
10407.70400000001,4634_4634,1
10403.11400000001,4635_4635,1
10400.424000000012,4636_4636,1
10399.244000000012,4637_4637,1
10390.314000000011,4638_4638,1
10392.384000000013,4639_4639,1
10391.164000000012,4640_4640,1
10394.324000000011,4641_4641,1
10392.42400000001,4642_4642,1
10394.304000000013,4643_4643,1
10390.244000000012,4644_4644,1
10387.204000000012,4645_4645,1
10391.104000000012,4646_4646,1
10394.814000000011,4647_4647,1
10395.934000000012,4648_4648,1
10395.694000000012,4649_4649,1
10395.694000000012,4650_4650,1
10402.957000000011,4651_4651,1
10405.257000000012,4652_4652,1
10405.807000000012,4653_4653,1
10409.324000000011,4654_4654,1
10415.254000000012,4655_4655,1
10414.384000000013,4656_4656,1
10414.634000000013,4657_4657,1
10411.094000000012,4658_4658,1
10407.974000000013,4659_4659,1
10405.325000000012,4660_4660,1
10406.545000000013,4661_4661,1
10408.90500000001,4662_4662,1
10411.735000000011,4663_4663,1
10407.285000000007,4664_4664,1
10407.84500000001,4665_4665,1
10407.46500000001,4666_4666,1
10411.00500000001,4667_4667,1
10406.24500000001,4668_4668,1
10404.33500000001,4669_4669,1
10405.79800000001,4670_4670,1
10404.99800000001,4671_4671,1
10393.06800000001,4672_4672,1
10398.63800000001,4673_4673,1
10392.46800000001,4674_4674,1
10391.23800000001,4675_4675,1
10384.36800000001,4676_4676,1
10388.88800000001,4677_4677,1
10384.827000000008,4678_4678,1
10385.21700000001,4679_4679,1
10389.66700000001,4680_4680,1
10395.007000000009,4681_4681,1
10396.40700000001,4682_4682,1
10397.81700000001,4683_4683,1
10402.36700000001,4684_4684,1
10403.740000000009,4685_4685,1
10396.42000000001,4686_4686,1
10387.25000000001,4687_4687,1
10384.710000000008,4688_4688,1
10389.59000000001,4689_4689,1
10387.820000000009,4690_4690,1
10386.27000000001,4691_4691,1
10386.700000000008,4692_4692,1
10383.35000000001,4693_4693,1
10381.240000000009,4694_4694,1
10392.160000000007,4695_4695,1
10391.400000000009,4696_4696,1
10387.410000000007,4697_4697,1
10387.17000000001,4698_4698,1
10385.200000000008,4699_4699,1
10390.240000000009,4700_4700,1
10360.590000000007,4701_4701,1
10354.560000000009,4702_4702,1
10367.110000000008,4703_4703,1
10359.880000000008,4704_4704,1
10375.653000000008,4705_4705,1
10375.453000000009,4706_4706,1
10378.27300000001,4707_4707,1
10371.76300000001,4708_4708,1
10374.383000000009,4709_4709,1
10374.06300000001,4710_4710,1
10358.463000000009,4711_4711,1
10361.033000000009,4712_4712,1
10360.713000000009,4713_4713,1
10363.016000000009,4714_4714,1
10363.666000000008,4715_4715,1
10362.746000000008,4716_4716,1
10364.186000000009,4717_4717,1
10360.926000000009,4718_4718,1
10366.476000000008,4719_4719,1
10361.909000000009,4720_4720,1
10372.599000000007,4721_4721,1
10372.319000000009,4722_4722,1
10366.979000000008,4723_4723,1
10371.679000000007,4724_4724,1
10368.776000000007,4725_4725,1
10371.417000000009,4726_4726,1
10366.847000000009,4727_4727,1
10367.217000000008,4728_4728,1
10363.187000000007,4729_4729,1
10361.777000000007,4730_4730,1
10364.247000000008,4731_4731,1
10359.787000000008,4732_4732,1
10354.607000000007,4733_4733,1
10354.127000000008,4734_4734,1
10355.957000000008,4735_4735,1
10355.927000000009,4736_4736,1
10355.497000000008,4737_4737,1
10358.757000000009,4738_4738,1
10357.597000000009,4739_4739,1
10358.527000000007,4740_4740,1
10354.137000000008,4741_4741,1
10355.507000000009,4742_4742,1
10353.94700000001,4743_4743,1
10363.45700000001,4744_4744,1
10360.857000000007,4745_4745,1
10354.647000000008,4746_4746,1
10346.166000000008,4747_4747,1
10345.186000000009,4748_4748,1
10352.906000000006,4749_4749,1
10355.446000000007,4750_4750,1
10354.186000000009,4751_4751,1
10358.536000000006,4752_4752,1
10360.786000000006,4753_4753,1
10356.456000000006,4754_4754,1
10357.516000000003,4755_4755,1
10358.746000000006,4756_4756,1
10360.986000000008,4757_4757,1
10363.526000000007,4758_4758,1
10362.996000000008,4759_4759,1
10367.656000000008,4760_4760,1
10375.306000000008,4761_4761,1
10380.146000000008,4762_4762,1
10375.626000000007,4763_4763,1
10376.20600000001,4764_4764,1
10373.976000000008,4765_4765,1
10371.239000000009,4766_4766,1
10367.949000000008,4767_4767,1
10358.559000000008,4768_4768,1
10356.839000000007,4769_4769,1
10357.829000000009,4770_4770,1
10364.089000000007,4771_4771,1
10364.309000000008,4772_4772,1
10355.029000000008,4773_4773,1
10356.649000000009,4774_4774,1
10352.569000000009,4775_4775,1
10362.819000000009,4776_4776,1
10357.76900000001,4777_4777,1
10341.479000000008,4778_4778,1
10330.499000000009,4779_4779,1
10332.539000000008,4780_4780,1
10335.479000000008,4781_4781,1
10348.409000000009,4782_4782,1
10358.389000000008,4783_4783,1
10356.85900000001,4784_4784,1
10360.669000000007,4785_4785,1
10359.409000000009,4786_4786,1
10361.81900000001,4787_4787,1
10367.329000000009,4788_4788,1
10371.236000000008,4789_4789,1
10376.46600000001,4790_4790,1
10378.686000000009,4791_4791,1
10382.756000000008,4792_4792,1
10380.81600000001,4793_4793,1
10382.89600000001,4794_4794,1
10390.14600000001,4795_4795,1
10387.37600000001,4796_4796,1
10378.70900000001,4797_4797,1
10401.946000000007,4798_4798,1
10404.526000000007,4799_4799,1
10398.00500000001,4800_4800,1
10393.39500000001,4801_4801,1
10392.51500000001,4802_4802,1
10393.38500000001,4803_4803,1
10401.365000000009,4804_4804,1
10408.525000000009,4805_4805,1
10399.815000000008,4806_4806,1
10406.645000000008,4807_4807,1
10406.015000000009,4808_4808,1
10407.465000000007,4809_4809,1
10412.674000000008,4810_4810,1
10415.884000000007,4811_4811,1
10415.094000000008,4812_4812,1
10412.314000000008,4813_4813,1
10411.484000000008,4814_4814,1
10411.017000000007,4815_4815,1
10413.177000000009,4816_4816,1
10415.467000000008,4817_4817,1
10419.407000000008,4818_4818,1
10413.267000000007,4819_4819,1
10416.337000000009,4820_4820,1
10416.097000000009,4821_4821,1
10421.097000000009,4822_4822,1
10416.617000000007,4823_4823,1
10415.027000000007,4824_4824,1
10417.277000000007,4825_4825,1
10415.047000000008,4826_4826,1
10415.067000000008,4827_4827,1
10409.780000000006,4828_4828,1
10414.890000000009,4829_4829,1
10414.160000000007,4830_4830,1
10413.550000000008,4831_4831,1
10418.420000000007,4832_4832,1
10419.570000000009,4833_4833,1
10423.510000000007,4834_4834,1
10421.690000000008,4835_4835,1
10421.500000000007,4836_4836,1
10427.880000000006,4837_4837,1
10435.600000000006,4838_4838,1
10434.550000000008,4839_4839,1
10430.560000000009,4840_4840,1
10429.610000000008,4841_4841,1
10431.730000000009,4842_4842,1
10430.050000000008,4843_4843,1
10433.340000000007,4844_4844,1
10433.700000000006,4845_4845,1
10434.120000000006,4846_4846,1
10435.140000000009,4847_4847,1
10430.740000000009,4848_4848,1
10427.220000000008,4849_4849,1
10430.850000000008,4850_4850,1
10434.170000000007,4851_4851,1
10436.680000000008,4852_4852,1
10428.520000000008,4853_4853,1
10424.270000000008,4854_4854,1
10418.770000000008,4855_4855,1
10410.660000000007,4856_4856,1
10408.930000000008,4857_4857,1
10408.920000000007,4858_4858,1
10407.500000000007,4859_4859,1
10411.670000000007,4860_4860,1
10416.340000000007,4861_4861,1
10416.530000000006,4862_4862,1
10415.440000000008,4863_4863,1
10400.857000000007,4864_4864,1
10396.497000000008,4865_4865,1
10394.667000000009,4866_4866,1
10396.737000000008,4867_4867,1
10409.334000000008,4868_4868,1
10416.277000000007,4869_4869,1
10424.977000000008,4870_4870,1
10427.187000000007,4871_4871,1
10427.837000000009,4872_4872,1
10426.387000000008,4873_4873,1
10423.317000000008,4874_4874,1
10424.437000000007,4875_4875,1
10420.53700000001,4876_4876,1
10422.62700000001,4877_4877,1
10423.047000000008,4878_4878,1
10420.817000000008,4879_4879,1
10417.217000000008,4880_4880,1
10431.357000000007,4881_4881,1
10427.637000000008,4882_4882,1
10428.007000000009,4883_4883,1
10418.417000000009,4884_4884,1
10423.627000000008,4885_4885,1
10417.537000000008,4886_4886,1
10422.667000000009,4887_4887,1
10419.407000000008,4888_4888,1
10420.697000000007,4889_4889,1
10421.837000000009,4890_4890,1
10425.727000000008,4891_4891,1
10425.777000000007,4892_4892,1
10424.857000000007,4893_4893,1
10426.397000000008,4894_4894,1
10418.937000000007,4895_4895,1
10413.447000000007,4896_4896,1
10411.307000000008,4897_4897,1
10422.100000000008,4898_4898,1
10427.640000000009,4899_4899,1
10426.700000000008,4900_4900,1
10432.990000000009,4901_4901,1
10433.530000000006,4902_4902,1
10432.250000000007,4903_4903,1
10430.620000000006,4904_4904,1
10430.310000000009,4905_4905,1
10430.410000000003,4906_4906,1
10432.210000000006,4907_4907,1
10431.940000000006,4908_4908,1
10439.030000000006,4909_4909,1
10453.950000000006,4910_4910,1
10453.290000000006,4911_4911,1
10455.220000000008,4912_4912,1
10455.600000000008,4913_4913,1
10456.850000000008,4914_4914,1
10462.440000000006,4915_4915,1
10463.410000000007,4916_4916,1
10464.120000000008,4917_4917,1
10457.740000000009,4918_4918,1
10462.710000000008,4919_4919,1
10462.480000000009,4920_4920,1
10462.950000000008,4921_4921,1
10468.250000000007,4922_4922,1
10471.960000000006,4923_4923,1
10463.883000000009,4924_4924,1
10463.273000000008,4925_4925,1
10463.833000000006,4926_4926,1
10460.340000000006,4927_4927,1
10462.080000000007,4928_4928,1
10474.620000000006,4929_4929,1
10473.560000000009,4930_4930,1
10471.290000000006,4931_4931,1
10466.870000000006,4932_4932,1
10471.280000000006,4933_4933,1
10469.410000000007,4934_4934,1
10468.770000000008,4935_4935,1
10470.270000000008,4936_4936,1
10469.990000000009,4937_4937,1
10472.090000000007,4938_4938,1
10474.660000000007,4939_4939,1
10467.380000000008,4940_4940,1
10477.300000000008,4941_4941,1
10473.450000000008,4942_4942,1
10473.450000000008,4943_4943,1
10472.500000000007,4944_4944,1
10473.410000000007,4945_4945,1
10477.200000000008,4946_4946,1
10473.680000000008,4947_4947,1
10472.130000000008,4948_4948,1
10480.390000000009,4949_4949,1
10477.990000000009,4950_4950,1
10466.890000000009,4951_4951,1
10466.100000000008,4952_4952,1
10463.360000000008,4953_4953,1
10458.541000000008,4954_4954,1
10449.271000000008,4955_4955,1
10456.351000000008,4956_4956,1
10463.941000000008,4957_4957,1
10461.641000000009,4958_4958,1
10462.92100000001,4959_4959,1
10463.951000000008,4960_4960,1
10462.281000000008,4961_4961,1
10452.431000000008,4962_4962,1
10456.521000000008,4963_4963,1
10461.061000000009,4964_4964,1
10465.571000000007,4965_4965,1
10470.621000000008,4966_4966,1
10467.761000000008,4967_4967,1
10464.271000000008,4968_4968,1
10461.111000000006,4969_4969,1
10464.271000000008,4970_4970,1
10464.141000000009,4971_4971,1
10462.841000000006,4972_4972,1
10465.501000000007,4973_4973,1
10458.644000000006,4974_4974,1
10457.254000000006,4975_4975,1
10458.784000000003,4976_4976,1
10456.954000000009,4977_4977,1
10451.184000000008,4978_4978,1
10455.054000000006,4979_4979,1
10457.614000000003,4980_4980,1
10458.314000000006,4981_4981,1
10454.274000000009,4982_4982,1
10454.424000000006,4983_4983,1
10446.434000000008,4984_4984,1
10447.584000000008,4985_4985,1
10447.734000000008,4986_4986,1
10444.894000000008,4987_4987,1
10442.814000000008,4988_4988,1
10450.634000000007,4989_4989,1
10456.804000000007,4990_4990,1
10456.004000000006,4991_4991,1
10450.314000000006,4992_4992,1
10447.204000000009,4993_4993,1
10444.214000000007,4994_4994,1
10445.787000000008,4995_4995,1
10441.297000000006,4996_4996,1
10447.367000000006,4997_4997,1
10444.137000000006,4998_4998,1
10444.524000000005,4999_4999,1
